run_id,D_A,e_mu,e_sigma,omega_deg,kappa_log,alpha_deg,dh,lh,nx,a,b,fitness
1,112,1,0.21,26.1,-1.8,74.7,0.245,0.32,2,-4.83,0.039811,0.95
2,112,0.96,0.64,79.2,-0.5,30.6,0.43,0.16,4,-4.83,0.039811,0.95
3,100,0.97,0.81,72.9,-0.5,32.4,0.385,0.26,1,-4.83,0.039811,0.95
4,112,1,0.26,33.3,-4,53.1,0.295,0.34,2,-4.83,0.039811,0.95
5,103,0.98,0.73,73.8,-0.5,27.9,0.375,0.68,3,-4.72,0.039811,0.94
6,100,0.98,0.42,62.1,-1.1,37.8,0.235,0.21,1,-4.83,0.039811,0.95
7,115,1,0.2,25.2,-1.8,72.9,0.275,0.33,2,-4.83,0.031623,0.95
8,115,1,0.21,27,-1.8,72.9,0.275,0.32,2,-4.83,0.039811,0.95
9,118,1,0.23,28.8,-1.8,71.1,0.265,0.35,2,-4.83,0.031623,0.95
10,100,0.99,0.82,74.7,-0.5,31.5,0.385,0.26,1,-4.83,0.039811,0.95
11,112,1,0.22,27,-1.8,70.2,0.255,0.32,2,-4.83,0.039811,0.95
12,103,0.97,0.65,71.1,-0.5,33.3,0.355,0.21,4,-4.83,0.039811,0.94
13,100,0.98,0.83,74.7,-0.4,34.2,0.38,0.25,1,-4.83,0.039811,0.95
14,100,0.96,0.39,64.8,-1.3,34.2,0.23,0.21,1,-4.83,0.039811,0.95
15,100,0.99,0.55,67.5,-0.5,32.4,0.235,0.23,1,-4.83,0.039811,0.95
16,115,1,0.24,26.1,-1.8,71.1,0.275,0.35,2,-4.83,0.031623,0.95
17,100,0.98,0.51,65.7,-1.3,32.4,0.205,0.22,1,-4.83,0.039811,0.95
18,100,0.98,0.6,76.5,-0.5,30.6,0.435,0.15,4,-4.72,0.039811,0.95
19,100,0.96,0.53,65.7,-1.1,18,0.225,0.21,4,-4.83,0.039811,0.94
20,115,1,0.2,27.9,-1.8,74.7,0.25,0.33,2,-4.83,0.031623,0.95
21,118,1,0.21,26.1,-1.8,71.1,0.265,0.35,2,-4.83,0.031623,0.95
22,100,0.96,0.8,69.3,-0.4,34.2,0.305,0.3,2,-4.72,0.039811,0.94
23,112,1,0.21,28.8,-1.8,72,0.25,0.34,2,-4.83,0.039811,0.95
24,115,1,0.2,25.2,-1.8,72,0.25,0.32,2,-4.83,0.031623,0.95
25,115,1,0.21,29.7,-1.8,72,0.25,0.33,2,-4.83,0.039811,0.95
